Name,Description,Address,Website ,Outdoor/Indoor,"Budget per person 

Free
Low ($1-$20)
High ($20+)","What kind of vibe are you looking for?

Chill/ Sport / Study/ Social/ Romantic","Distance from residence

short (0-3 km)
medium (3 - 5 km)
high (5+km)",Food available? (Y/N),Plugs/outlets available? (Y/N),Free Wifi available?,Do you want a Quiet or crowded place?,Wheelchair accessible?,Friday Timings,Saturday Timings,Sunday Timings
Cherry Blossom Festival,"Traditional Japanese Performances, food stalls, and cultural exhibitions.",1610 Geary Blvd,https://sfcherryblossom.org/,Outdoor ,Free,"Chill, Social, Romantic",High,Y,N,N,Crowded,Y,11:00AM - 5:00PM,11:00AM - 5:00PM,11:00AM - 5:00PM
Earth Day Festival,"Earth Day celebration with live music, eco-friendly vendors, educational workshops.",750 Howard St.,https://yerbabuenagardens.org/events/2025earthday/,Outdoor ,Free,"Chill, Social, Romantic",Short,Y,N,N,Crowded,Y,6:00AM - 10:00PM,6:00AM - 10:00PM,6:00AM - 10:00PM
SF Art Fair,Contemporary and Modern artworks from over 70 galleries.,"2 Marina Blvd Landmark Building C, Suite 260",https://sanfranciscoartfair.com/,Indoor,Free,"Chill, Social, Romantic",Short,Y,N,Y,Crowded,Y,11:00AM - 7:00PM,11:00AM - 7PM,11:00AM - 7PM
Sunset Dunes Park,"Oceanfront Park with scenic coastal views, nature trails and golden sand dunes.",Great Hwy & Noriega St.,https://sfrecpark.org/1555/Sunset-Dunes,Outdoor ,Free,"Chill, Social, Romantic",High,N,N,N,Crowded,Y,7:00AM - 5:00PM,7:00AM - 7:00PM,7:00AM - 7:00PM
Candlelight Concert ,Classical Music in candlelight settings and historic venue.,4705 3rd St.,https://www.san-francisco-theater.com/shows/bayview-opera-house/candlelight-rings-dragons,Indoor,High,Romantic,Medium,Y,N,N,Quiet,Y,6:30 PM - 7:30 PM,6:30 PM - 7:30 PM,6:30 PM - 7:30 PM
Fat Ham at SF Playhouse,"James Ijames' Pulitzer Prize-winning play: a modern, queer Southern reimagining of Shakespeare's Hamlet, set at a family barbecue. ",450 Post St.,https://www.sfplayhouse.org/sfph/2024-2025-season/fat-ham/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac_PZL3wgtD6MKEBr5RZrIHPc5j5p7ErY3qlyWIQ4m4-KwIfcF-M-zoaAuOiEALw_wcB,Indoor,Low,"Chill, Social, Romantic",Short,N,N,N,Crowded,Y,8:00 PM - 9:40 PM,3:00 PM - 4:40 PM,2:00 PM - 3:40 PM
EmotionAir Installations,"Inflatable Installations, blending art with emotion in a sensory experience.",3601 Lyon St,https://tickets.balloonmuseum.world/emotion-air-san-francisco/?gad_source=1&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac8GVm8JeJQtqndnk1Xynk8Uce4j3ij6di9ZrCZO1vd8-p8veVG_M5EaAk2aEALw_wcB,Indoor,High,"Social, Romantic",Medium ,N,N,N,Crowded,Y,11:00AM - 8:00PM,10:00AM - 9:00PM,10:00AM - 8:00PM
Bay Area Brew Festival,"Featuring over 50 beweries, beers, food trucks and DJs.",105 Montgomery St.,https://www.bayareabrewfestival.com/,Outdoor,High,"Social, Chill",Short,Y,N,N,Crowded,Y,Closed,1:00 PM - 4:00 PM,Closed
Chess Night Game,Play chess with strangers and socialize.,2131 Lombard Street,https://www.instagram.com/silicon_valley_chess_community?igsh=NTc4MTIwNjQ2YQ== ,Outdoor,Free,"Social, Chill",Medium,N,N,Y,Crowded,Y,11:00AM - 8:00PM,10:00AM - 9:00PM,10:00AM - 8:00PM
Japanese Tea Garden Visit,"Serene garden with traditional Japanese architecture, koi ponds, bonsai trees, and a tea house.",75 Hagiwara Tea Garden Drive,https://gggp.org/japanese-tea-garden/?gad_source=1&gad_campaignid=21017713825&gclid=Cj0KCQjwqv2_BhC0ARIsAFb5Ac-Eh3nR-L57seTH6H2SMpxTf71qTdLXxLEWIq_fQquu9sGRzOaf1CYaAl5fEALw_wcB,Outdoor,Low,"Romantic, Chill",Medium,N,N,Y,Quiet,Y,7:00AM - 5:30PM,9:00AM - 5:30PM,9:00AM - 5:30PM
